"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"1",628.5,635.59,622.38,625.22,22737000,625.22
"2",627.8,633.8,620.55,623.9,18084900,623.9
"3",620.13,623.36,599.14,605.12,23302800,605.12
"4",601.8,604.55,571.22,572.84,30111900,572.84
"5",579.71,600.61,577.2,599.05,24036900,599.05
"6",591.83,610,582.88,605.13,22543700,605.13
"7",623.01,623.09,595.5,603.59,26053400,603.59
"8",602.17,611.79,597.63,598.78,16584600,598.78
"9",603.88,616.59,600.5,610.12,23919600,610.12
"10",610.23,612.56,601.52,609.89,16205300,609.89
"11",612.23,625.49,609.18,617.69,20424000,617.69
"12",616.69,616.79,598.23,599.36,17764100,599.36
"13",597.54,608.5,593.5,604.87,22144100,604.87
"14",601.89,621.47,601.34,616.6,22701400,616.6
"15",613.37,628.35,611.8,623.31,24560900,623.31
"16",624.48,631.39,608.88,620.83,24812700,620.83
"17",618.25,628.57,615.5,623.71,19158900,623.71
"18",632,657.2,630.04,656.57,31099200,656.57
"19",674.99,697.62,667.61,679.82,45982400,679.82
"20",689.58,693.81,668.7,671.87,32496700,671.87
"21",671.64,694.7,670.32,688.72,21628200,688.72
"22",684.65,687.51,675.89,680.76,17381300,680.76
"23",679.77,692.81,678.14,679.7,18924900,679.7
"24",683.92,687.99,672.8,677.92,18634500,677.92
"25",678.98,700,673.26,678.9,27054500,678.9
"26",681.71,684,651.4,659.58,23284500,659.58
"27",664.27,665.7,638.32,644.65,18792000,644.65
"28",628.37,654.43,620.46,652.81,22773300,652.81
"29",653.18,658.91,644.69,656.95,18140500,656.95
"30",662.2,687.24,662.16,685.7,25927000,685.7
"31",686.32,693.28,666.3,668.54,20966100,668.54
"32",670.75,678.61,652.84,653.38,21641200,653.38
"33",658.39,666.14,637.88,650.6,20209600,650.6
"34",654.68,656.7,642.2,644.22,16371000,644.22
"35",629.89,647.2,621.29,646.22,21297100,646.22
"36",651.99,662.39,640.5,660.5,15487100,660.5
"37",659.61,664.86,650.29,655.29,13953300,655.29
"38",656.44,662.17,644.6,649.26,15105700,649.26
"39",646.36,648.8,637.3,643.38,14604900,643.38
"40",650.97,668.2,647.11,657.62,25336600,657.62
"41",663.4,666.5,627.24,644.78,32813300,644.78
"42",647,654.97,639.4,646.98,16006600,646.98
"43",649.79,683.69,648.8,677.35,30394600,677.35
"44",671.76,697.53,669,687.2,29600500,687.2
"45",700,726.94,698.4,709.67,33615800,709.67
"46",719,722.65,701.01,709.74,21620300,709.74
"47",711,724.9,708.93,710.92,17002600,710.92
"48",716,720.95,711.41,714.63,12919600,714.63
"49",711.9,716.33,697.63,699.1,15576200,699.1
"50",710.17,719.03,705.13,713.76,14715300,713.76
"51",713.99,716.59,701.88,709.99,13432300,709.99
"52",712.71,715.18,704.21,707.82,9800600,707.82
"53",706.34,722.8,699.4,722.25,17459100,722.25
"54",723.71,729.9,714.34,717.17,16698900,717.17
"55",705.07,709.5,676.4,686.17,22677400,686.17
"56",672.66,674.58,648.84,665.71,23721300,665.71
"57",669.75,695.77,669.35,688.99,20349400,688.99
"58",678.21,686.55,667.59,673.47,14313500,673.47
"59",682.85,692.13,673.7,680.26,14781800,680.26
"60",685.44,712.13,680.75,706.3,20264900,706.3
"61",710.68,715.22,702.64,708.49,13083100,708.49
"62",707.03,716.97,704,711.2,12645600,711.2
"63",708.31,715.4,697.62,701.16,13214300,701.16
"64",705,715,702.1,711.92,13762100,711.92
"65",714.72,731,712.73,730.91,18604200,730.91
"66",733,740.39,726.44,735.72,20855400,735.72
"67",734.08,741.99,731.27,734.09,13204300,734.09
"68",734.5,740.97,730.54,732.39,12777300,732.39
"69",732.25,734,724.2,733.57,15246100,733.57
"70",740,760.2,739.26,752.92,20039800,752.92
"71",761.58,764.45,740.77,753.87,18793000,753.87
"72",753.41,762.1,751.63,754.86,14077700,754.86
"73",759.6,762.61,734.52,736.27,15114300,736.27
"74",740.21,744.78,708.85,743,22952500,743
"75",742.57,754.47,736.4,744.49,18524900,744.49
"76",745,756.86,738.36,755.83,15357700,755.83
"77",752.83,758.91,747.61,756.99,13923400,756.99
"78",757.15,761.04,750,759.49,28204200,759.49
"79",734.56,742,718.62,730.17,24757700,730.17
"80",734.79,744.74,730.44,739.38,16330700,739.38
"81",743.53,753.67,739.12,751.94,15126300,751.94
"82",755,758.2,747.92,753.64,11947500,753.64
"83",745.89,774.8,744.56,774.39,21373000,774.39
"84",773.12,799,769.31,791.36,28070700,791.36
"85",787.2,795.64,766.18,777.56,25381400,777.56
"86",779.8,793.5,770.68,781.31,20942900,781.31
"87",781,789.13,775,775.48,17956000,775.48
"88",778.4,780.78,763.59,775.22,17031400,775.22
"89",796.5,806.97,776.12,781.53,30483300,781.53
"90",784.8,797.31,774.2,780.59,18391200,780.59
